pnrid,lat,lon,lotName,location,city,zipcode,countyID,county,spaces,accessibleSpaces,bikeRackSpaces,bikeLockerSpaces,electricVehicleSpaces,carSharing,transitService,availability,timeLimit,restroom,benches,shelter,indoorWaitingArea,trashCan,lighting,securityCameras,sidewalks,pnrSignage,lotSurface,propertyOwner,localExpert
1,44.644559,-123.234158,SW corner of intersection: NW Arboretum Road and Hwy 99W,Arboretum Road and Highway 99 ,Adair Village ,97330,41003,Benton,8,,,,,,,24/7,,No,No,No,No,No,No,No,No,No,Gravel,,Cascades West Rideshare
2,44.629634,-123.060431,Spicer Drive,3400 Spicer Dr SE,Albany,97322,41043,Linn,30,2,,,,,,24/7,,No,No,No,No,Yes,Yes,No,Yes,Yes,Asphalt,ODOT,Cascades West Rideshare
3,44.644524,-123.114399,Hickory Street,635 NW Hickory Ave,Albany,97321,41043,Linn,40,2,4,4,,,"Albany Transit  1, 3",24/7,,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Asphalt,City of Albany,Cascades West Rideshare
4,44.556235,-123.064889,Hwy 34 and Interstate 5,33133 Corvallis-Lebanon Hwy,Albany,97322,41043,Linn,40,,,,,,,24/7,,No,No,No,No,Yes,Yes,No,No,Yes,Asphalt,ODOT,Cascades West Rideshare
5,44.702246,-123.051982,I-5 and Hwy 164 junction,I-5 & Hwy 164,Albany,97322,41043,Linn County,20,,,,,,,,,,,,,,,,,No,Gravel,ODOT,Cascades West Rideshare
6,45.464804,-120.198262,Mikkalo Ln and Hwy 19 junction,Mikkalo Ln & Hwy 19,Arlington,97812,41021,Gilliam ,10,,,,,,,,,,,,,,,,,No,Gravel,ODOT,Commute Options
7,46.190155,-123.833213,Astoria Transit Center Park & Ride,900 Marine Drive,Astoria,97103,41007,Clatsop,3,,1,2,2,,"The Bus 10, 30, 101, Pacific Connector, Columbia Connector, RSVP; the NorthWest POINT;  Pacific Transit 24, 50",24/7,72 hours,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Asphalt,Sunset Empire,RIDEnext
8,46.190293,-123.845422,Astoria & Warrenton Area Chamber of Commerce,111 W. Marine Drive,Astoria,97103,41007,Clatsop,6,,,,,,"The Bus 10, 30, 101, Pacific Connector, Columbia Connector.",24/7,10 days,Yes,Yes,No,No,No,No ,No,No,No,Asphalt,Astoria Chamber of Commerce,RIDEnext
9,44.828532,-122.824327,Hwy 22 and Golf Club Rd Park & Ride,NW corner of Mill Creek Rd SE & Golf Club Rd SE,Aumsville,97325,41047,Marion,90,,,,,,CARTS ,24/7,24 hours,No,No,No,No,No,No,No,No,No,Gravel,Golf Club,Cherriots Rideshare
10,45.468986,-122.803458,Southminster Presbyterian Church,12250 SW Denney Rd,Beaverton,97008,41067,Washington,20,2,,,,,"TriMet 76, 78",Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,Yes,Asphalt,Presbytery of the Cascades by Southminster Presbyterian Church,TriMet
11,45.482988,-122.806264,Bethel Congregational Church Park & Ride,5150 SW Watson Ave,Beaverton,97005,41067,Washington,50,,,,,,"TriMet 76, 78",Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,Yes,Asphalt,Bethal Congregation UCC,TriMet
12,45.457142,-122.786907,Hall/Nimbus Park & Ride,8505 SW Cascade Ave,Beaverton,97008,41067,Washington,50,2,11,10,,,"TriMet 76, 78; WES",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
13,45.474085,-122.826913,Seventh-Day Adventist Church of Beaverton,14645 SW Davis Rd,Beaverton,97007,41067,Washington,113,6,,,,,"TriMet 62, 88",Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Western Oregon Conf. Assn of Seventh-Day Adventists,TriMet
14,45.495783,-122.821615,Millikan Way Park & Ride,SW Millikan Way and 141st/Shannon Pl,Beaverton,97005,41067,Washington,405,13,6,14,,,MAX Blue Line; TriMet 62,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
15,45.498689,-122.831186,Beaverton Creek Park & Ride,SW 153rd Ave and Millikan Way,Beaverton,97006,41067,Washington,421,6,6,12,,,MAX Blue Line,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
16,45.510657,-122.851012,Elmonica/SW 170th Ave Park & Ride,1200 SW 170th Ave,Beaverton,97006,41067,Washington,450,14,6,14,,,MAX Blue Line,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
17,45.510615,-122.782279,Sunset TC Parking Garage,10470 SW Barnes Rd,Beaverton,97229,41067,Washington,630,14,14,12,,,"MAX Blue Line, Red Line; TriMet 20, 48, 50, 59, 62",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Concrete,TriMet,TriMet
18,44.089722,-121.305903,Oregon Department of Transportation Park & Ride,63055 US-97,Bend,97701,41017,Deschutes,10,,,,,,CET 4,24/7,,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Asphalt,ODOT,Commute Options
19,44.048596,-121.326125,Mt. Bachelor Park & Ride,SW Simpson Ave & SW Colorado Avenue,Bend,97701,41017,Deschutes,200,,,,,,CET 18,,,,Yes,Yes,,,Yes,,,,Asphalt,"Mt. Bachelor, Inc.",Commute Options
20,43.768113,-121.453104,US 97 and State Recreation Road,US 97 & State Recreation Rd,Bend,97707,41017,Deschutes,8,,,,,,,,,,,,,,,,,No,Gravel,ODOT,Commute Options
21,44.057939,-121.219148,Bend/Powell Butte Park & Ride,Powell Butte Highway and East Highway 20 ,Bend,97701,41017,Deschutes,10,,,,,,,,,,,,,,,,,,,,Commute Options
22,44.59628,-123.52107,Highway 20 and 180 interchange near Blodgett ,Highway 20 and 180 ,Blodgett ,97326,41003,Benton,30,,,,,,Valley Retriever,24/7,,No,No,No,No,No,No,No,No,Yes,Gravel,,OCWCOG
23,42.375646,-122.916649,Central Point - 2nd & Manzanita,200 Manzanita St.,Central Point,97502,41029,Jackson,4,,1,,,,RVTD 40,,No overnight,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Asphalt,,RVTD
24,45.453254,-122.574498,SE Fuller Rd Park & Ride,9608 SE Fuller Rd,Clackamas,97086,41051,Multnomah,610,13,,30,,,MAX Green Line,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,TriMet,TriMet
25,45.435593,-122.568531,Clackamas Town Center Transit Center,9225 SE Sunnyside Rd,Clackamas,97015,41005,Clackamas,787,16,8,8,,Zipcar,"MAX Blue Line; TriMet 28, 29, 30, 31, 71, 72, 79, 152, 155, 156",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Concrete,"General Growth Properties, Inc",TriMet
26,44.56739,-123.25742,"Riverfront (1st Street), behind Super 8 motel ",407 NW 2nd St (behind building) near Harrison,Corvallis,97330,41003,Benton,50,4,,,,,,24/7,,No,No,No,No,Yes,Yes,No,Yes,No,Asphalt,,Cascades West Rideshare
27,43.799539,-123.04149,Cottage Grove Wal-Mart,901 Row River Rd,Cottage Grove,97424,41039,Lane,30,,,4,,,LTD 98,24/7,24 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Asphalt,Wal-Mart,Point2Point
28,43.917137,-123.019775,Creswell City Hall,C St. at 1st St.,Creswell,97426,41039,Lane,20,,2,,,,LTD 98,"M-F, 6a-6p",12 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Gravel,City of Creswell,Point2Point
29,45.396643,-122.498688,Carver Park & Ride,16077 SE Hwy 224,Damascus,97015,41005,Clackamas,20,,,,,,TriMet 30,Monday-Friday,24 hours,No,Yes,Yes,,No,No,,No,Yes,Gravel,Carver School Community Center Inc,TriMet
30,43.7778,-118.359,Drewsey Rd and Hwy 20 junction,Drewsey Rd & Hwy 20,Drewsey,97904,41025,Harney,20,,,,,,,,,,,,,,,,,No,Paved,ODOT,
31,44.080238,-123.168633,Allison Park Christian Church,1520 Echo Hollow Rd.,Eugene,97402,41039,Lane,10,,,,,,LTD 40,"M-F, 6a-6p",12 Hours,no,no,no,no,no,Yes,no,yes,no,Asphalt,Allison Park Church,point2point Solutions
32,44.079439,-123.067693,Papas Pizza - Coburg,1577 Coburg Road,Eugene,97401,41039,Lane,11,,,,,,"LTD 66, 67, 96","M-F, 6a-6p",12 Hours,no,yes,no,no,no,yes,no,yes,yes,Asphalt,Papa's Pizza,point2point Solutions
33,44.03966,-123.118085,Westside Christian Church,1866 Chambers St.,Eugene,97405,41039,Lane,13,,,,,,"LTD 36, 78","M-F, 6a-6p",12 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Asphalt,Westside Christian Church,point2point Solutions
34,44.091217,-123.066994,Shopko,2815 Chad Dr.,Eugene,97408,41039,Lane,15,,,,,,"LTD 66, 67, 96","M-F, 6a-6p",12 Hours,no,yes,no,no,no,Yes,no,yes,yes,Asphalt,Shopko,point2point Solutions
35,44.045243,-123.113096,Eugene Faith Center,1410 W 13th Ave,Eugene,97402,41039,Lane,16,,,,,,"LTD 30, 32, 41, 76, 93","M-F, 6a-6p",12 Hours,no,yes,yes,no,yes,Yes,no,yes,yes,Asphalt,Eugene Faith Center,point2point Solutions
36,44.003999,-123.083155,Church of the Harvest,4646 Fox Hollow Rd.,Eugene,97405,41039,Lane,20,,,,,,"LTD 24, 73","M-F, 6a-6p",12 Hours,no,yes,no,no,no,yes,no,yes,yes,Asphalt,Church of the Harvest,point2point Solutions
37,44.123,-123.140876,St. Matthews Episcopal Church,4110 River Rd.,Eugene,97404,41039,Lane,20,,,,,,LTD 51,"M-F, 6a-6p",12 Hours,no,no,no,no,no,yes,no,yes,yes,Asphalt,St Matthews,point2point Solutions
38,44.066701,-123.106294,Valley River Center ,VRC Parking Lot - Behind Regal Cinema,Eugene,97401,41039,Lane,25,,60,,,,"LTD 66, 67, 96","M-F, 6a-6p",12 Hours,Yes,yes,yes,no,yes,yes,no,yes,yes,Asphalt,Valley River Center,point2point Solutions
39,44.040401,-123.13058,Willamette Christian Center,2500 West 18th Ave.,Eugene,97405,41039,Lane,26,,,,,,"LTD 36, 78","M-F, 6a-6p",12 Hours,no,yes,yes,no,yes,yes,No,yes,yes,Asphalt,Willamette Christian Center,point2point Solutions
40,44.070521,-123.069251,Westminster Presbyterian Church,777 Coburg Road,Eugene,97401,41039,Lane,33,,,,,,"LTD 12, 66, 67, 96","M-F, 6a-6p",12 Hours,no,no,no,no,no,Yes,no,yes,yes,Asphalt,Westminster Presbyterian Church,point2point Solutions
41,44.04892,-123.14112,Seneca Station,West 11th Ave & Seneca Rd.,Eugene,97402,41039,Lane,43,2,,,,,"LTD 32, 41, 43, 78, 93","M-F, 6a-12a",18 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Asphalt,LTD,point2point Solutions
42,44.026652,-123.083958,Amazon Station,29th Ave. & Amazon Parkway,Eugene,97405,41039,Lane,44,2,4,6,,,"LTD 73, 82, 92","M-F, 6a-12a",18 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Asphalt,City of Eugene,point2point Solutions
43,44.096375,-123.127688,River Road Station,River Rd. & Beltline,Eugene,97404,41039,Lane,150,7,10,4,,,"LTD 51, 52, 55","M-F, 6a-12a",18 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Asphalt,LTD,point2point Solutions
44,45.53298,-122.454532,Reynolds School District Park & Ride,1204 NE 201st Ave,Fairview,97060,41051,Multnomah,35,,,,,,TriMet 77,Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,No,Asphalt,School District No 7 MCO,TriMet
45,42.435683,-123.30452,Grants Pass Fred Meyer,1101 Northeast Grants Pass Parkway,Grants Pass,97526,41033,Josephine ,7,,,,,,Josephine Co. Transit,24/7,24 hours,No,No,No,No,No,Yes,No,Yes,Yes,Asphalt,Fred Meyer,RVTD
46,45.521113,-122.474586,E 181st Ave Park & Ride,18324 E Burnside St,Gresham,97233,41051,Multnomah,241,7,,,,,"MAX Blue Line; TriMet 20, 25, 87",24/7,24 hours,No,No,No,No,No,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
47,45.505194,-122.436309,Gresham City Hall Park & Ride,1297 NW Eastman Pkwy,Gresham,97030,41051,Multnomah,292,8,8,8,,,"MAX Blue Line, Trimet 4, 21, 87",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
48,45.502481,-122.418418,Cleveland Ave Park & Ride,1200 NE 8th St,Gresham,97030,41051,Multnomah,385,7,5,4,,,MAX Blue Line,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
49,45.503296,-122.42551,Gresham Parking Garage,523-575 NE 8th St,Gresham,97030,41051,Multnomah,537,12,16,,,,"MAX Blue Line; TriMet 4, 9, 20, 21, 80, 81, 84, 87, SAM",24/7,24 hours,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Concrete,TriMet,TriMet
50,45.53069,-122.917722,Orenco Station/NW 231st Ave Park & Ride,NE Orenco Station Pkwy and Campus Ct,Hillsboro,97124,41067,Washington,125,6,6,26,,Zipcar,MAX Blue Line; TriMet 47,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
51,45.522704,-122.889097,Quatama/NW 205th Ave Park & Ride,325 NW 205th Ave,Hillsboro,97006,41067,Washington,310,8,6,22,,,MAX Blue Line,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,TriMet,TriMet
52,45.527633,-122.946483,Fair Complex/Hillsboro Airport Park & Ride,601 NE 34th Ave,Hillsboro,97124,41067,Washington,392,11,18,18,,,"MAX Blue Line; Trimet 46, 48",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
53,45.518645,-122.871392,Willow Creek/SW 185th Ave TC Park & Ride,375 SW 185th Ave,Hillsboro,97006,41067,Washington,600,16,10,14,,,"MAX Blue Line; TriMet 52, 59, 88; CCR",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,TriMet,TriMet
54,45.520344,-122.977999,Hillsboro Intermodal Transit Facility,775 SE Baseline St,Hillsboro,97123,41067,Washington,85,2,,,2,,"MAX Blue Line; Trimet 47, 48, 57",24/7,24 hours,No,No,No,No,No,Yes,Yes,No,No,Concrete,City of Hillsboro,TriMet
55,45.521057,-122.990538,Hillsboro Parking Garage,110 SW Washington St,Hillsboro,97123,41067,Washington,254,10,10,8,,,MAX Blue Line; TriMet 57,24/7,24 hours,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Concrete,TriMet,TriMet
56,45.707405,-121.502279,Hwy 30 & Hwy 35 Junction,423 Oregon 35,Hood River,97031,41027,Hood River,27,2,,,,,CAT Dial-A-Ride,24/7,,No,No,No,No,No,No,No,No,No,Asphalt,ODOT,MCEDD
57,45.712222,-121.533967,CAT Park & Ride,301 N. Wasco Court,Hood River,97031,41027,Hood River,44,2,2,8,,,"CAT Dial-A-Ride, Portland route",24/7,No camping,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Asphalt,CAT,MCEDD
58,42.315664,-122.969766,Jacksonville City Lot,340 West C St.,Jacksonville,97530,41029,Jackson,15,,,,,,RVTD 30,,No overnight,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Asphalt,,RVTD
59,44.222521,-123.208758,United Methodist Church (Junction City),750 W. 10th Ave - Junction City,Junction City,97448,41039,Lane,10,,,,,,LTD 95,"M-F, 6a-6p",12 Hours,no,no,no,no,no,yes,no,yes,yes,Asphalt,United Methodist Church,point2point Solutions
60,44.220054,-123.203691,Downtown Junction City,W 7th Ave & Holly St.,Junction City,97448,41039,Lane,40,,,,,,LTD 95,"M-F, 6a-6p",12 Hours,no,no,no,no,no,yes,no,yes,yes,Asphalt,City of Junction City,point2point Solutions
61,45.006616,-123.002126,Keizer Transit Center,5860 Keizer Station Blvd. N.E,Keizer,97303,41047,Marion,55,3,30,,5,,"Cherritos 11, 15, 18, 19",24/7,24 hours,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,Salem Keizer Transit,Cherriots Rideshare
62,42.195635,-121.699237,Klamath Falls Community College,Hwy 39 & Hwy 140,Klamath Falls,97603,41035,Klamath,12,,,,,,,,,,,,,,,,,No,Paved,ODOT,Commute Options
63,43.703256,-121.477528,La Pine/Wickiup Jt Park & Ride,17000 Burgess Rd,La Pine ,97739,41017,Deschutes,25,2,,,,,"CET 3, Dial-A-Ride",24/7,24 hours,No,Yes,Yes,No,No,Yes,No,No,Yes,Asphalt,Deschutes County,Commute Options
64,45.418855,-122.712239,Hope Church Park & Ride,14790 SW Boones Ferry Rd,Lake Oswego,97035,41005,Clackamas,12,,,,,,"TriMet 37, 38",Monday-Friday,12 hours,No,No,No,No,No,No,,Yes,No,Asphalt,Hope Community Church Lake Oswego,TriMet
65,45.419855,-122.676925,Christ Church Parish Park & Ride,1060 Chandler Rd,Lake Oswego,97034,41005,Clackamas,30,,,,,,"TriMet 37, 78",Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,Yes,Asphalt,Christ Church Parish,TriMet
66,45.407157,-122.68106,Lake Oswego United Methodist Church Park & Ride,1855 South Shore Blvd,Lake Oswego,97034,41005,Clackamas,34,,,,,,TriMet 36,Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Lake Oswego United Methodist Church,TriMet
67,42.324758,-122.872197,RVTD Front Street Station,200 South Front St.,Medford,97501,41029,Jackson,14,2,15,1,,,RVTD all routes,24/7,24 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Asphalt,RVTD,RVTD
68,45.428007,-122.635057,Milwaukie Elks Lodge Park & Ride,13121 SE McLoughlin Blvd,Milwaukie,97222,41005,Clackamas,20,,,,,,TriMet 33,Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,No,Asphalt,Miwaukie Lodge #3032,TriMet
69,45.439587,-122.637516,Milwaukie Presbyterian Church Park & Ride,2416 SE Lake Rd,Milwaukie,97222,41005,Clackamas,30,3,,,,,TriMet 32,Monday-Friday,24 hours,No,Yes,No,No,No,Yes,,Yes,Yes,Asphalt,The Presbytery of Portland,TriMet
70,45.452052,-122.640144,Milwaukie Park & Ride,9600 SE Main St,Milwaukie,97222,41005,Clackamas,329,8,,4,,,"TriMet 31, 32, 33, 99",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
