pnrid,lat,lon,lotName,location,city,zipcode,countyID,county,spaces,accessibleSpaces,bikeRackSpaces,bikeLockerSpaces,electricVehicleSpaces,carSharing,transitService,availability,timeLimit,restroom,benches,shelter,indoorWaitingArea,trashCan,lighting,securityCameras,sidewalks,pnrSignage,lotSurface,propertyOwner,localExpert
71,43.03,-123.3,I-5 Exit 108 NB Onramp,"I-5 NB Onramp (Exit 108), Milepost 108.74",Myrtle Creek,97457,41019,Douglas ,12,,,,,,,,,,,,,,,,,No,Gravel,ODOT,RVTD
72,45.024084,-117.927772,North Powder I-84,"Old Oregon Trail Hwy, North Powder, OR 97867",North Powder,97867,41061,Union,2,,,,,,,,,,,,,,,,,No,Gravel,ODOT,Community Connection
73,45.337215,-122.604293,First Presbyterian Church Park & Ride,1321 Linn Ave at Williams St,Oregon City,97045,41005,Clackamas,21,,,,,,TriMet 33,Monday-Friday,24 hours,No,Yes,Yes,No,No,No,,Yes,Yes,Asphalt,First Presbyterian Church,TriMet
74,45.321715,-122.575295,Clackamas Community College Park & Ride,19600 S Molalla Ave,Oregon City,97045,41005,Clackamas,40,,,,,,"TriMet 32, 33, 99",24/7,24 hours,No,Yes,Yes,No,Yes,Yes,,Yes,No,Asphalt,Clackamas Community College,TriMet
75,44.539055,-123.371782,Applegate and 11th,1214 Corvallis Newport Hwy,Philomath,97370,41003,Benton,20,2,6,,,,Philomath Connection,24/7,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Asphalt,City of Philomath,Cascades West Rideshare
76,44.587739,-123.429873,US20 @ Kings Valley Hwy,Hwy 20 & Hwy 223,Philomath,97370,41003,Benton ,10,,,,,,,,,,,,,,,,,Yes,Gravel,ODOT,Cascades West Rideshare
77,45.520953,-122.579343,The Columba Center,8147 SE Pine St,Portland,97215,41051,Multnomah,12,,,,,,"TriMet 15, 20, 72",Monday-Friday,24 hours,NO,No,No,No,No,Yes,,Yes,Yes,Asphalt,The Parish of Saints Peter and Paul,TriMet
78,45.547203,-122.590846,Rose City Church of the Nazarene Park & Ride,7016 NE Sandy Blvd,Portland,97213,41051,Multnomah,14,,,,,,"TriMet 12, 24",Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,Yes,Asphalt,Rose City Church of the Nazarene,TriMet
79,45.525683,-122.802533,Cedar Mill Bible Church Park & Ride,12208 NW Cornell Rd,Portland,97229,41051,Multnomah,16,,,,,,"TriMet 48, 50, 62",Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Cedar Mill Bible Church,TriMet
80,45.527387,-122.572344,Central Bible Church Park & Ride,8815 NE Glisan St,Portland,97220,41051,Multnomah,20,,,,,car2go,TriMet 19,Monday-Friday,24 hours,No,Yes,Yes,No,No,Yes,,Yes,No,Asphalt,Central Bible Church,TriMet
81,45.576973,-122.711802,University Park Baptist Church,4340 N Lombard St,Portland,97203,41051,Multnomah,22,,,,,,"TriMet 44, 75",Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,University Park Baptist Church,TriMet
82,45.48977,-122.592347,Kern Park Christian Church Park & Ride,6828 SE Holgate Blvd,Portland,97206,41051,Multnomah,24,,,,,,TriMet 17,Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,Yes,Asphalt,Kern Park Christian Church,TriMet
83,45.480718,-122.647902,Tenth Church of Christ Scientist Park & Ride,5736 SE 17th Ave,Portland,97202,41051,Multnomah,28,,,,,,"Trimet 19, 70",Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Tenth Church of Christ Scientist,TriMet
84,45.47641,-122.715299,Eleventh Church of Christ Scientist Park & Ride,3643 SW Vermont,Portland,97219,41051,Multnomah,35,,,,,,"TriMet 1, 45, 64",Monday-Friday,24 hours,No,No,No,No,No,Yes,,No,No,Asphalt,Eleventh Curch of Christ Scientist,TriMet
85,45.508526,-122.79622,Cedar Hills United Church of Christ Park & Ride,11695 SW Park Way,Portland,97225,41051,Multnomah,46,3,,,,,"TriMet 20, 59",Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Cedar Hills United Church of Christ,TriMet
86,45.48941,-122.760408,Valley Community United Presbyterian Church,8060 SW Brentwood St,Portland,97225,41051,Multnomah,63,,,,,,"TriMet 54, 55, 61",Monday-Friday,24 hours,No,Yes,Yes,,No,Yes,,Yes,Yes,Asphalt,Valley Community Presbyterian Church Inc,TriMet
87,45.596036,-122.686129,Delta Park/Vanport Park & Ride,1940 N Victory Blvd,Portland,97217,41051,Multnomah,124,8,7,8,,,MAX Yellow Line; C-Tran,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,TriMet
88,45.490985,-122.566681,SE Holgate Blvd Park & Ride,9669 SE Holgate Blvd,Portland,97266,41051,Multnomah,125,5,5,8,,,MAX Green Line; TriMet 17,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,TriMet
89,45.488538,-122.710994,St. Andrews United Presbyterian Church,3228 SW Sunset Blvd,Portland,97201,41051,Multnomah,140,,,,,,"TriMet 51, 55",Monday-Friday,24 hours,No,No,No,No,No,No,,No,Yes,Asphalt,St Andrew's Pres. Church (USA) c/o Presbytery of the Cascades,TriMet
90,45.558867,-122.563495,Parkrose/Sumner TC Park & Ride,9525 NE Sandy Blvd,Portland,97220,41051,Multnomah,199,6,5,8,,,"MAX Red Line; TriMet 12, 21, 71; C-TRAN",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,TriMet
91,45.605287,-122.68589,Expo Center Park & Ride,2060 N Marine Dr at Expo Center,Portland,97217,41051,Multnomah,300,9,7,8,,,"MAX Yellow Line, TriMet 11",Monday-Friday,24 hours,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Asphalt,Metro,TriMet
92,45.454237,-122.717344,Barbur Blvd TC Park & Ride,9712 SW Barbur Blvd,Portland,97219,41051,Multnomah,370,4,4,8,,,"TriMet 12, 43, 44, 64, 94; SMART 201",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,ODOT,TriMet
93,45.49476,-122.566438,SE Powell Blvd Park & Ride,3618 SE 92nd Ave,Portland,97266,41051,Multnomah,391,9,,10,,,MAX Green Line; Trimet 9,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,TriMet
94,45.514083,-122.564817,SE Main St Park & Ride,1119 SE 96th Ave,Portland,97216,41051,Multnomah,426,9,,10,,,MAX Green Line; TriMet 15,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,TriMet
95,45.521811,-122.536556,E 122nd/Menlo Park Park & Ride,12202 E Burnside St,Portland,97233,41051,Multnomah,434,15,7,8,,,"MAX Blue Line; TriMet 20, 71",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
96,45.531677,-122.563051,Gateway/NE 99th Ave TC Park & Ride,1250 NE 99th Ave,Portland,97220,41051,Multnomah,690,13,8,12,,Zipcar,"MAX Blue, Red, and Green Lines; TriMet 15, 19, 22, 23, 24, 25, 87",24/7,24 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Concrete,TriMet,TriMet
97,44.304165,-120.862312,Prineville Park & Ride,305 NW Madras Highway,Prineville,97754,41013,Crook,12,,,,,,,,,,,,,,,,,,,Les Schwab,Commute Options
98,44.925341,-123.227291,Rickreal Park & Ride,520 S Pacific Highway West,Rickreall,97371,41053,Polk,40,,,,,,CARTS ,24/7,24 hours,No,No,No,No,Yes,Yes,No,Yes,Yes,Asphalt,Polk County,Cherriots Rideshare
99,44.927603,-122.973728,Christ the Good Shepherd Lutheran Church Park & Ride,4440 State Street,Salem,97301,41047,Marion,15,,,,,,Cherriots 16,"Business Hrs, M-F",10 hours,No,No,Yes,No,Yes,Yes,No,Yes,No,Asphalt,Christ the Good Shepherd Lutheran Church,Cherriots Rideshare
100,44.928386,-122.979417,Grace Baptist Church Park & Ride,4197 State St,Salem,97301,41047,Marion,20,,,,,,Cherriots 16,"Business Hrs, M-F",10 hours,No,Yes,Yes,No,Yes,Yes,No,No,No,Asphalt,Grace Baptist Church,Cherriots Rideshare
101,44.968498,-123.030004,Keizer Fred Meyer Park & Ride,2855 Broadway St NE,Salem,97301,41047,Marion,20,,,,,,"Cherriots 9, 19",24/7,24 hours,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Asphalt,Fred Meyer,Cherriots Rideshare
102,44.906291,-123.041446,Fred Meyer South Park & Ride,3450 Commercial Street SE,Salem,97302,41047,Marion,30,,,,,,"Cherriots 1, 6, 8",24/7,24 hours,Yes,No,Yes,No,Yes,Yes,,Yes,No,Asphalt,Fred Meyer,Cherriots Rideshare
103,44.964401,-122.987239,Wal-Mart North Park & Ride,3025 Lancaster Drive Northeast,Salem,97305,41047,Marion,30,,,,,,"Cherriots 11, 20",24/7,24 hours,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,Walmart,Cherriots Rideshare
104,44.958534,-123.05423,West Salem/Westgate Assembly of God Church ,1675 Wallace Road Northwest,Salem,97304,41047,Marion,36,,,,,,Cherriots 25CX,24/7,24 hours,No,No,Yes,No,Yes,Yes,No,Yes,No,Asphalt,Westgate Assembly of God Church ,Cherriots Rideshare
105,44.888834,-123.033544,Rite Aid Park & Ride,4500 Commercial Street SE,Salem,97302,41047,Marion,50,,,,,,"Cherriots 1, 6",24/7,24 hours,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Asphalt,Rite-Aid,Cherriots Rideshare
106,44.878742,-123.026276,Wal-Mart South Park & Ride,5250 Commercial Street SE,Salem,97306,41047,Marion,50,,,,,,"Cherriots 6, 21",24/7,24 hours,Yes,No,Yes,No,Yes,Yes,yes,Yes,No,Asphalt,Walmart,Cherriots Rideshare
107,44.84283,-123.010164,Sunnyside/Turner Interchange Park & Ride,7800 Squirrel Hill Road,Salem,97306,41047,Marion,60,2,,,,,,24/7,24 hours,No,No,No,No,No,No,No,No,Yes,Asphalt,ODOT,Cherriots Rideshare
108,44.971808,-123.065516,Wallace Road Park & Ride,1400 Brush College Rd NW,Salem,97304,41047,Marion,70,6,,,,,Cherriots 25CX,24/7,24 hours,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,Cherriots Rideshare
109,44.950852,-122.993156,Market Street Park & Ride,1700 Hawthorn Ave,Salem,97301,41047,Marion,150,8,6,,,,"Cherriots 17, 20, 1X",24/7,24 hours,No,Yes,Yes,No,No,Yes,Yes,Yes,yes,Asphalt,ODOT,Cherriots Rideshare
110,44.922832,-123.00235,Airport Road Park & Ride,1100 Airport Road SE,Salem,97301,41047,Marion,220,3,,,,,Cherriots 16,24/7,24 hours,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Asphalt,ODOT,Cherriots Rideshare
111,45.993563,-123.919835,Seaside Vistors Bureau Park & Ride (Broadway Middle School parking lot),7 N. Roosevelt Drive,Seaside,97138,41007,Clatsop,6,,,,,,"The Bus 20, 21, 101, Pacific Connector, Seaside Trolley (summer only)",24/7,10 hours,Yes,Yes,No,Yes,No,No ,No,No,No,Asphalt,Seaside Vistors Bureau,RIDEnext
112,45.355165,-122.842043,Sherwood Park & Ride,SW Main & Railroad,Sherwood,97140,41067,Washington,30,,,,,,"TriMet 93, 94",Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,Yes,Asphalt,City of Sherwood,TriMet
113,45.369274,-122.840762,Sherwood Regal Cinemas Park & Ride,15995 SW Tualatin-Sherwood Rd,Sherwood,97140,41067,Washington,50,,,,,,"TriMet 93, 94",Monday-Friday,24 hours,No,Yes,Yes,No,Yes,Yes,,Yes,Yes,Asphalt,Juniper Ridge Investments LLC,TriMet
114,44.290558,-121.544259,Sisters Pumphouse Park & Ride,591 E. Highway 20,Sisters,97759,41017,Deschutes,6,,,,,,,,,,,,,,,,,,,,Commute Options
115,44.052093,-123.010638,First Baptist Church,1175 G St,Springfield,97477,41039,Lane,13,2,,,,,LTD 18,"M-F, 6a-6p",12 Hours,no,no,no,no,no,yes,no,yes,yes,Asphalt,First Baptist Church,point2point Solutions
116,44.064651,-122.993577,Rite Aid,Mohawk Marketplace - 2130 Marcola Rd,Springfield,97477,41039,Lane,14,,,,,,"LTD 13, 18, 19","M-F, 6a-6p",12 Hours,no,no,no,no,no,yes,no,yes,yes,Asphalt,Rite Aid,point2point Solutions
117,44.063146,-123.019167,Fred Meyer,5th and Q Street,Springfield,97477,41039,Lane,25,,,,,,LTD 17,"M-F, 6a-6p",12 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Asphalt,Fred Meyer,point2point Solutions
118,44.044992,-123.020409,Springfield Station,5th and South A Street,Springfield,97477,41039,Lane,42,2,20,,,,"LTD EmX, 11, 17, 18, 19, 85, 91","M-F, 6a-12a",18 Hours,yes,yes,yes,yes,yes,yes,no,yes,yes,Asphalt,LTD,point2point Solutions
119,44.044299,-123.019599,Springfield Station Overflow (Booth Kelly),Booth Kelly Parking Lot (S B & 5th),Springfield,97477,41039,Lane,78,,,,,,"LTD EmX, 11, 17, 18, 19, 85, 92","M-F, 6a-6p",12 Hours,no,no,no,no,no,Yes,no,yes,yes,Asphalt,City of Springfield,point2point Solutions
120,44.045157,-122.930027,Thurston Station,Main Street and Hwy 126,Springfield,97478,41039,Lane,96,4,8,,,,"LTD 11, 91","M-F, 6a-12a",18 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Asphalt,ODOT,point2point Solutions
121,44.815599,-122.793846,Hwy 22 and Cascade Hwy Park & Ride,9500 Cascade Highway,Stayton,97383,41047,Marion,95,8,4,,,,CARTS,24/7,24 hours,No,No,Yes,No,No,Yes,No,Yes,Yes,Asphalt,Marion County,Cherriots Rideshare
122,43.898665,-121.417959,Sunriver Marketplace Park & Ride,18160 Cottonwood Rd.,Sunriver,97707,41017,Deschutes,6,,,,,,,,,,,,,,,,,,,,Commute Options
123,42.244292,-122.789912,Talent City Hall,110 East Main St.,Talent,97540,41029,Jackson,2,,2,,,,RVTD 10,,No overnight,No,No,No,No,Yes,No,No,Yes,Yes,Asphalt,,RVTD
124,44.350206,-121.17849,Terrebonne Mini Market Park & Ride,8150 N Highway 97,Terrebonne,97760,41017,Deschutes,10,,,,,,CET 22,,,,,,,,,,,,,,Commute Options
125,45.601543,-121.180806,The Dalles Transportation Center,201 Federal St,The Dalles,97058,41065,Wasco,5,1,,,,,,24/7,No Camping,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Asphalt,City of The Dalles,Commute Options
126,45.604266,-121.137646,The Dalles Bridge,US 197 & Bret Clodfelter Way,The Dalles,97058,41065,Wasco,10,,,,,,,,,,,,,,,,,No,Gravel,ODOT,Commute Options
127,45.437996,-122.752849,Tigard Park & Ride,SW 74th Ave & Pacific Hwy,Tigard,97223,41067,Washington,220,7,12,,,,"TriMet 12,64, 94",24/7,24 hours,No,No,No,No,No,Yes,Yes,Yes,Yes,Asphalt,Metro,TriMet
128,45.414813,-122.792578,Christ the King Lutheran Church Park & Ride,11305 SW Bull Mountain Rd,Tigard,97224,41067,Washington,30,3,,,,,"TriMet 93, 94",Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Christ the King Lutheran Church,TriMet
129,45.429639,-122.769356,Tigard TC Park & Ride,8960 SW Commercial St,Tigard,97223,41067,Washington,102,7,18,12,,,"TriMet 12, 45, 64, 76, 78, 93, 94; WES; YCTA",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,ODOT,TriMet
130,45.455284,-122.783875,Progress Park & Ride,SW Scholls Ferry Rd. & Hwy 217,Tigard,97008,41067,Washington,127,5,,,,,TriMet 92,24/7,24 hours,No,No,No,No,No,Yes,No,Yes,Yes,Asphalt,ODOT,TriMet
131,45.456586,-123.824946,Tillamook County Transportation District Offices Park & Ride,3600 Third Street,Tillamook,97141,41057,Tillamook,24,1,3,,,,"The Wave 1, 5",24/7,10 hours,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Asphalt,Tillamook County,RIDEnext
132,45.370821,-122.770961,Boones Ferry Community Church Park & Ride,20500 SW Boones Ferry Rd,Tualatin,97062,41005,Clackamas,20,,,,,,TriMet 96,Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Boones Ferry Community Church,TriMet
133,45.383271,-122.764564,Tualatin South Park & Ride,18955 SW Boones Ferry Rd,Tualatin,97062,41005,Clackamas,147,5,24,10,,,TriMet 76; WES; Tualatin Shuttle,Monday-Friday,24 hours,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Asphalt,ODOT,TriMet
134,45.37604,-122.759757,Mohawk Park & Ride,SW Martinazzi St and Mohawk Ave,Tualatin,97062,41005,Clackamas,210,7,11,,,,"TriMet 76, 96",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
135,45.395592,-122.748487,Tualatin Park & Ride,SW 72nd & Bridgeport Rd,Tualatin,97224,41005,Clackamas,390,7,10,,,,"TriMet 36, 37, 38, 76, 96; SMART 2X",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,ODOT,TriMet
136,44.051086,-123.351835,Veneta Transit Center,SW Corner of W Broadway Ave & Territorial Rd,Veneta,97487,41039,Lane,27,2,4,,2,,LTD 93,"M-F, 6a-6p",12 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Asphalt,City of Veneta,point2point Solutions
137,45.647022,-120.880313,Fulton Canyon,Biggs-Rufus Hwy & Celilo-Wasco Hwy ,Wasco,97065,41055,Sherman,20,,,,,,,,,,,,,,,,,No,Gravel,ODOT,Commute Options
138,45.386878,-122.640278,Emmanuel United Presbyterian Church Park & Ride,19200 S Willamette Dr,West Linn,97068,41005,Clackamas,80,4,,,,,TriMet 35,Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,Yes,Asphalt,Presbytery of Portland,TriMet
139,42.426662,-122.850146,Cascade Shopping Center,7651 Crater Lake Highway,White City,97503,41029,Jackson,13,,,,,,RVTD 60,24/7,24 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Asphalt,Cascade Partnership LLC,RVTD
140,42.442107,-122.834007,VA SORCC ballpark,8495 Crater Lake Highway,White City,97503,41029,Jackson,20,,,,,,RVTD 60,24/7,24 hours,No,No,No,No,No,No,No,No,Yes,Gravel,Veteran's Admin Domiciliary,RVTD
141,45.310985,-122.776337,Wilsonville Park & Ride,9699 SW Barber St,Wilsonville,97070,41005,Clackamas,408,14,10,48,,,WES; SMART; CAT; Cherriots,24/7,24 hours,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Asphalt,TriMet,TriMet
142,45.15139,-122.877682,Woodburn Park and Ride,2895 Newberg Hwy,Woodburn,97071,41047,Marion,80,10,,,2,,Cherriots 1X; Woodburn Transit Service (WTS),24/7,24 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Asphalt,City of Woodburn,Cherriots Rideshare
